ID,parentID,insertDate,name,code,type,level,provinceID,city,zone,address,postalCode,phone,haveInternet,email,ownership,distanceFromParent,timeToParent,roadType,climate,populationNumber,childrenNumber,receivingVaccMode,transportMode,startWork,staffNumber,powerSource,remark,country,higherLevel,lowerLevel,year,updateNumber,completerStaffName,completerStaffPosition,completerStaffSign,facilityBarcode,equipBarcode,district,gps,other,changeDate,Coverage,functionstatus,byfile,HaveImmService,TypeImmService,NumImmperWeek,NumProfStaff,NumVaccStaff,NumDriverStaff,Coverage2,HaveGenerator,HaveCovid,countVacc1,countVacc2,otherservice,isDel,delreason,enterBy,code2,IsbuildingSuitable,buildingSuitableReason,selectedServices,NumIcepack,MaxSDI,FacMainPlan,NumIsOpen,workingHFrom,workingHTo,other1,other2,other3,other4,other5,other6,Coverage3,countVacc3,Coverage4,countVacc4
1,0,10/04/2021,Central Health Service Dili (MdS),TLS0100001,116,1,159,test,1,"Bidau Santa Ana, Dili",1,77396492,1,,140,0,,NULL,-1,1300000,34000,134,137,2002,500,215,,1,NULL,14,2002,12/2/2022 4:27:31 AM,Jim,Domingos Freitas,,MdS,,Dili,"-8.561195, 125.575363",No,09/06/2022,12,131,NULL,0,-1,0,250,0,1,100,1,NULL,0,0,1,0,-1,1,NULL,1,-1,207,111,12.00,,5,07:30,17:30,11.20,22.00,1,0,sdfsdf,sfsdfsdf,NULL,0,NULL,0
605,1,06/09/2022,DNASH  Dili Timor-Leste,TLS0200012,116,2,-1,,,Caicoli  Dili Timor-Leste,,Yes,1,,140,NULL,,NULL,-1,60000,4000,-1,-1,2002,150,215,,NULL,NULL,14,2002,NULL,Domingos Freitas,DF,,,NULL,Dili,"-8.559501, 125.574921",No,14/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,8,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,08:30,17:30,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
606,605,24/05/2022,Institute Nasional da Saude (INS),TLS0200001,235,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,1336222,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
607,605,08/12/2022,Hospital National Guido Valadares (HNGV),TLS0300096,157,3,-1,,,1,,-,NULL,,-1,NULL,,NULL,-1,57308,100,-1,-1,,1,215,,NULL,NULL,0,NULL,11/15/2022 4:49:48 PM,Domingos Freitas,1,,,NULL,-,,3.1,08/12/2022,NULL,-1,1,NULL,NULL,NULL,1,0,1,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
608,607,07/06/2022,Municipality Health Service Aileu,TLS0300001,119,3,-1,,,Aileu,,Yes,NULL,,-1,NULL,,NULL,-1,57308,11000,-1,-1,,150,215,,NULL,NULL,5,NULL,NULL,Domingos Freitas,DF,,,NULL,Aileu,,Yes,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,1,231,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
609,608,07/06/2022,SSK Aileu Villa,TLS0400001,156,4,-1,,,Aileu,,Yes,NULL,,-1,NULL,,NULL,-1,160000,200,-1,-1,,150,215,,NULL,NULL,5,NULL,NULL,Domingos Freitas,DF,,,NULL,Dili,,Yes,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,1,231,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
610,608,07/06/2022,SSK Acumau,TLS0400002,156,4,-1,,,Aileu,,Yes,NULL,,-1,NULL,,NULL,-1,8342,200,-1,-1,,150,215,,NULL,NULL,5,NULL,NULL,Domingos Freitas,DF,,,NULL,Aileu,,Yes,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,1,231,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
611,608,07/06/2022,SSK Namolesu,TLS0400003,156,4,-1,,,Aileu,,Yes,NULL,,-1,NULL,,NULL,-1,7913,200,-1,-1,,150,215,,NULL,NULL,5,NULL,NULL,Domingos Freitas,DF,,,NULL,Aileu,,Yes,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,1,231,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
612,608,07/06/2022,SSK Cotolau,TLS0400004,156,4,-1,,,Aileu,,Yes,NULL,,-1,NULL,,NULL,-1,12868,200,-1,-1,,150,215,,NULL,NULL,5,NULL,NULL,Domingos Freitas,DF,,,NULL,Aileu,,Yes,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,1,231,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
613,605,06/07/2022,Regional Warehouse - Ainaro ( Regional SAMES Ainaro),TLS0200003,115,2,-1,,,Ainaro,,Yes,NULL,,-1,NULL,,NULL,-1,65693,5000,-1,-1,,150,215,,NULL,NULL,5,NULL,11/30/2022 6:15:08 AM,Domingos Freitas,Atoy,,,NULL,Ainaro,,No,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,08:30,17:30,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
